,RET
418595,True
418596,False
418597,True
418598,True
418599,False
418600,True
418601,True
418602,True
418603,True
418604,False
418605,True
418606,False
418607,False
418608,False
418609,True
418610,True
418611,True
418612,True
418613,True
418614,True
418615,True
418616,False
418617,True
418618,True
418619,True
418620,True
418621,False
418622,False
418623,True
418624,True
418625,False
418626,False
418627,False
418628,False
418629,False
418630,False
418631,True
418632,True
418633,True
418634,False
418635,False
418636,True
418637,False
418638,True
418639,False
418640,False
418641,False
418642,True
418643,False
418644,False
418645,True
418646,False
418647,True
418648,True
418649,True
418650,True
418651,True
418652,False
418653,False
418654,True
418655,False
418656,True
418657,True
418658,True
418659,True
418660,True
418661,True
418662,True
418663,True
418664,True
418665,True
418666,True
418667,True
418668,True
418669,True
418670,True
418671,True
418672,False
418673,True
418674,False
418675,False
418676,True
418677,False
418678,True
418679,True
418680,True
418681,False
418682,True
418683,False
418684,True
418685,True
418686,True
418687,False
418688,False
418689,True
418690,True
418691,True
418692,False
418693,True
418694,False
418695,True
418696,True
418697,False
418698,False
418699,True
418700,False
418701,True
418702,False
418703,True
418704,False
418705,False
418706,True
418707,False
418708,False
418709,False
418710,False
418711,False
418712,True
418713,False
418714,True
418715,True
418716,True
418717,True
418718,True
418719,False
418720,True
418721,False
418722,True
418723,True
418724,True
418725,False
418726,True
418727,True
418728,True
418729,True
418730,False
418731,True
418732,False
418733,False
418734,True
418735,False
418736,False
418737,False
418738,False
418739,True
418740,False
418741,True
418742,True
418743,False
418744,True
418745,False
418746,True
418747,True
418748,True
418749,True
418750,True
418751,False
418752,True
418753,True
418754,False
418755,False
418756,True
418757,False
418758,False
418759,False
418760,False
418761,False
418762,True
418763,True
418764,True
418765,False
418766,False
418767,True
418768,True
418769,True
418770,False
418771,True
418772,False
418773,False
418774,False
418775,True
418776,False
418777,True
418778,False
418779,False
418780,True
418781,True
418782,True
418783,False
418784,True
418785,True
418786,True
418787,False
418788,False
418789,True
418790,True
418791,True
418792,True
418793,True
418794,True
418795,True
418796,False
418797,True
418798,True
418799,False
418800,True
418801,True
418802,True
418803,True
418804,False
418805,False
418806,False
418807,False
418808,True
418809,True
418810,True
418811,True
418812,False
418813,False
418814,False
418815,False
418816,True
418817,False
418818,False
418819,True
418820,False
418821,False
418822,False
418823,True
418824,True
418825,False
418826,False
418827,False
418828,False
418829,True
418830,False
418831,True
418832,False
418833,False
418834,True
418835,True
418836,True
418837,True
418838,True
418839,True
418840,True
418841,False
418842,True
418843,True
418844,False
418845,False
418846,False
418847,True
418848,True
418849,False
418850,True
418851,True
418852,True
418853,False
418854,True
418855,False
418856,True
418857,True
418858,False
418859,True
418860,False
418861,False
418862,True
418863,False
418864,True
418865,True
418866,False
418867,False
418868,True
418869,True
418870,False
418871,False
